,prompt,file_names
33,A big Ferris wheel is rotating in an amusement park.,0232.mp4
34,a Christmas tree on a toy train,0250.mp4
35,"With the style of Egyptian tomp hieroglyphics, A colossal gorilla in a force field armor defends a space colony.",0257.mp4
36,"In Roy Lichtenstein style, an octopus",0258.mp4
37,"With the style of 3d game, Chinese dragon flying in the sky with Chinese garden below",0271.mp4
38,"A GoPro film painting ofA flock of nine seagulls soars above the beach, their wings outstretched as they ride the ocean breeze.",0274.mp4
39,"A wise tortoise in a tweed hat and spectacles reads a newspaper, Howard Hodgkin style",0281.mp4
40,"With the style of Ghibli, A man with a shaved head, a beard, and a muscular build.",0290.mp4
41,"A young man with a mohawk, piercings, and an energetic vibe., impressionist style",0292.mp4
42,"Hokusai style, wizard fighting goblin",0302.mp4
43,"In vector illustration style, A group of children build a snowman together.",0305.mp4
44,"With the style of van gogh, A young couple dances under the moonlight by the lake.",0309.mp4
45,A Chris Ofili painting ofa sad man with green hair,0335.mp4
46,"With the style of Howard Hodgkin, a woman with sunglasses and red hair",0336.mp4
47,"In Roy Lichtenstein style, In the video, a serene waterfall cascades down a rocky terrain. The water flows gently, creating a peaceful ambiance.",0350.mp4
48,"The sun sets behind the Taj Mahal, casting a warm glow on the iconic white marble., Polaroid style",0354.mp4
49,"A car on the left of a bus., oil painting style",0375.mp4
50,"abstract style, a t-shirt",0395.mp4
51,"Jamini Roy style, a bowl",0396.mp4
52,a baby daikon radish in Andy Kehoe style,0405.mp4
53,"drove viewpoint, a man wearing sunglasses and business suit",0431.mp4
54,"camera rotate anticlockwise, a woman with a dog puppet and a cat puppet",0435.mp4
55,"zoom in, A boy, fascinated by the fish, spends hours at the aquarium.",0437.mp4
56,"camera pan from right to left, children on a couch",0461.mp4
57,"drove viewpoint, fireworks above the Parthenon",0470.mp4
58,"A Vietnam map, large motion",0477.mp4
59,"a flag with three vertical stripes, close-up shot, high detailed",0484.mp4
60,"large motion, a white towel with a cartoon of a cat on it",0486.mp4
61,"a submarine, time-lapse photography",0488.mp4
62,"still camera, A van parked on grass",0491.mp4
63,"camera rotate clockwise, a laptop screen showing a bunch of photographs",0500.mp4
64,"large motion, a violin play itself",0506.mp4
65,"hand-held camera, a tree reflected in the sunroof of a blue car",0509.mp4
66,"A musician effortlessly plays a complex melody on a keyboard, fingers dancing across the keys with precision.",0517.mp4
67,"Families gather around a table, engrossed in a game of Monopoly, eagerly strategizing and making deals.",0518.mp4
68,"A passionate musician air drums to their favorite song, mimicking the beats and fills with enthusiasm.",0522.mp4
69,"With precise movements, a chef skillfully peels potatoes, removing the skin in one continuous motion.",0524.mp4
70,"A farmer drives a tractor through a vast field, tending to the crops with care and expertise.",0532.mp4
71,"A bright yellow cup with the word ""YIELD"" written in black, reminding drivers to give way.",0536.mp4
72,"A weathered wooden sign with faded black paint reading ""KEEP OUT"" hanging on a rusty gate, discouraging unauthorized entry.",0544.mp4
73,"""Women's Restroom"" sign on a door at a restaurant.",0555.mp4
74,"A tennis player serves the ball with a large motion swing, scoring an ace.",0572.mp4
75,"A skateboarder performs a large motion flip trick, landing smoothly on the pavement.",0576.mp4
76,"A drummer hits the cymbals with a large motion crash, punctuating the music.",0579.mp4
77,"A figure skater performs a large motion spin, her arms and legs extended.",0582.mp4
78,"A gymnast performs a large motion handspring, her body flipping through the air.",0584.mp4
79,"Slow motion birds soar through the sky, their wings outstretched.",0602.mp4
80,Six cows graze peacefully in a green pasture.,0606.mp4
81,Five colorful parrots perch on a tree branch.,0611.mp4
82,A yellow aeroplane flying over a field of red flowers.,0634.mp4
83,A blue train speeding past a yellow stop sign.,0636.mp4
84,A green cow grazing in a field with a yellow sun.,0637.mp4
85,A yellow cat sleeping on a green bench.,0647.mp4
86,"Brad Pitt smirks charmingly, his blue eyes sparkling with mischief.",0652.mp4
87,"Meryl Streep's expressive eyes reveal her character's inner turmoil, her face full of emotion.",0657.mp4
88,"Brad Pitt's furrowed brow conveys deep thought, his eyes focused and serious.",0663.mp4
89,"Meryl Streep's face shows vulnerability, her eyes brimming with unshed tears.",0668.mp4
90,"Sandra Bullock's eyes sparkle with laughter, her face full of joy.",0670.mp4
91,"Brad Pitt's face shows concern, his eyes filled with worry and compassion.",0674.mp4
92,"Angelina Jolie's eyes convey strength, her face full of resolve.",0686.mp4
93,"Meryl Streep's eyes reveal deep thought, her face full of contemplation.",0690.mp4
94,"Leonardo DiCaprio's face shows joy, his eyes sparkling with happiness.",0691.mp4
